date,NASDAQ 100 Tech Index,S&P Healthcare Index,Gold_Price,Oil_Price,Dollar_Index,Gold_Volume,Oil_Volume,BEIR,VIX index
2024-03-08,10415.33,1703.26000976562,2178.60009765625,78.0100021362305,102.73999786377,259,347533,2.28,14.7399997711182
2024-03-11,10359.64,1702.35998535156,2182.5,77.9300003051758,102.870002746582,738,329873,2.27,15.2200002670288
2024-03-12,10530.35,1710.55004882812,2160.39990234375,77.5599975585938,102.959999084473,550,309922,2.3,13.8400001525879
2024-03-13,10391.86,1703.59997558594,2175.39990234375,79.7200012207031,102.790000915527,20,316390,2.3,13.75
2024-03-14,10298.42,1696.2900390625,2163.0,81.2600021362305,103.360000610352,515,297450,2.3,14.3999996185303
2024-03-15,10146.99,1690.33996582031,2157.30004882812,81.0400009155273,103.430000305176,100,185078,2.32,14.4099998474121
2024-03-18,10221.21,1689.9599609375,2160.69995117188,82.7200012207031,103.580001831055,21,84718,2.31,14.3299999237061
2024-03-19,10224.57,1701.26000976562,2156.30004882812,83.4700012207031,103.809997558594,12,76814,2.3,13.8199996948242
2024-03-20,10372.62,1697.30004882812,2157.89990234375,81.6800003051758,103.410003662109,17,351161,2.31,13.039999961853
2024-03-21,10472.44,1699.25,2182.39990234375,81.0699996948242,104.0,63,266860,2.34,12.9200000762939
2024-03-22,10444.17,1696.81005859375,2158.10009765625,80.629997253418,104.430000305176,19,231101,2.35,13.0600004196167
2024-03-25,10388.22,1694.13000488281,2174.80004882812,81.9499969482422,104.230003356934,79,300360,2.33,13.1899995803833
2024-03-26,10373.65,1699.89001464844,2175.60009765625,81.620002746582,104.290000915527,202373,235845,2.32,13.2399997711182
2024-03-27,10427.4,1722.0400390625,2190.60009765625,81.3499984741211,104.349998474121,31200,249964,2.32,12.7799997329712
2024-03-28,10420.33,1723.96997070312,2217.39990234375,83.1699981689453,104.550003051758,2040,293774,2.32,13.0100002288818
2024-04-01,10463.7,1708.84997558594,2236.5,83.7099990844727,105.019996643066,400,321059,2.35,13.6499996185303
2024-04-02,10348.49,1681.16003417969,2261.0,85.1500015258789,104.819999694824,435,344040,2.36,14.6099996566772
2024-04-03,10372.26,1679.46997070312,2294.39990234375,85.4300003051758,104.25,285,322549,2.36,14.3299999237061
2024-04-04,10172.51,1655.9599609375,2288.80004882812,86.5899963378906,104.120002746582,251,359534,2.34,16.3500003814697
2024-04-05,10306.57,1671.01000976562,2325.69995117188,86.9100036621094,104.300003051758,344,353206,2.37,16.0300006866455
2024-04-08,10309.02,1664.63000488281,2331.69995117188,86.4300003051758,104.139999389648,202,393734,2.38,15.1899995803833
2024-04-09,10400.32,1671.06994628906,2343.5,85.2300033569336,104.150001525879,211,314994,2.36,14.9799995422363
2024-04-10,10243.23,1651.90002441406,2329.60009765625,86.2099990844727,105.25,377,373939,2.4,15.8000001907349
2024-04-11,10419.72,1643.7900390625,2354.80004882812,85.0199966430664,105.279998779297,283,388128,2.4,14.9099998474121
2024-04-12,10162.06,1618.86999511719,2356.19995117188,85.6600036621094,106.040000915527,584,369958,2.39,17.3099994659424
2024-04-15,9976.72,1615.76000976562,2365.80004882812,85.4100036621094,106.209999084473,1801,343894,2.43,19.2299995422363
2024-04-16,10010.93,1616.10998535156,2390.80004882812,85.3600006103516,106.26000213623,41,241343,2.43,18.3999996185303
2024-04-17,9816.78,1613.26000976562,2371.69995117188,82.6900024414062,105.949996948242,37,259540,2.39,18.2099990844727
2024-04-18,9716.7,1613.65002441406,2382.30004882812,82.7300033569336,106.150001525879,128,84468,2.4,18.0
2024-04-19,9500.55,1618.78002929688,2398.39990234375,83.1399993896484,106.150001525879,160,76901,2.41,18.7099990844727
2024-04-22,9631.73,1625.10998535156,2332.19995117188,82.8499984741211,106.080001831055,53,313914,2.41,16.9400005340576
2024-04-23,9828.82,1645.34997558594,2327.69995117188,83.3600006103516,105.690002441406,171,355814,2.41,15.6899995803833
2024-04-24,9895.33,1641.2099609375,2324.5,82.8099975585938,105.860000610352,95,329077,2.41,15.9700002670288
2024-04-25,9893.93,1630.96997070312,2329.80004882812,83.5699996948242,105.599998474121,1024,314116,2.42,15.3699998855591
2024-04-26,10055.63,1630.83996582031,2334.80004882812,83.8499984741211,105.940002441406,717,244090,2.43,15.0299997329712
2024-04-29,10039.64,1636.26000976562,2345.39990234375,82.629997253418,105.580001831055,405,336984,2.41,14.6700000762939
2024-04-30,9845.68,1634.43994140625,2291.39990234375,81.9300003051758,106.220001220703,113,400680,2.41,15.6499996185303
2024-05-01,9692.12,1638.58996582031,2299.89990234375,79.0,105.76000213623,42,441978,2.38,15.3900003433228
2024-05-02,9840.5,1636.71997070312,2299.19995117188,78.9499969482422,105.300003051758,56,359652,2.37,14.6800003051758
2024-05-03,9982.19,1640.42004394531,2299.0,78.1100006103516,105.029998779297,194,324438,2.35,13.4899997711182
2024-05-06,10112.97,1647.64001464844,2321.60009765625,78.4800033569336,105.050003051758,9,297369,2.35,13.4899997711182
2024-05-07,10076.02,1661.01000976562,2315.19995117188,78.379997253418,105.410003662109,25,327593,2.32,13.2299995422363
2024-05-08,10061.81,1655.44995117188,2313.60009765625,78.9899978637695,105.550003051758,4,355449,2.31,13.0
2024-05-09,10038.43,1668.56005859375,2332.10009765625,79.2600021362305,105.230003356934,5,272712,2.32,12.6899995803833
2024-05-10,10090.34,1672.26000976562,2367.30004882812,78.2600021362305,105.309997558594,126,281169,2.34,12.5500001907349
2024-05-13,10140.59,1670.66003417969,2336.10009765625,79.120002746582,105.220001220703,14,287701,2.33,13.6000003814697
2024-05-14,10213.48,1677.93005371094,2353.39990234375,78.0199966430664,105.01000213623,6,307410,2.33,13.4200000762939
2024-05-15,10454.29,1702.06005859375,2388.69995117188,78.629997253418,104.349998474121,29,321267,2.31,12.4499998092651
2024-05-16,10436.75,1700.2900390625,2380.0,79.2300033569336,104.459999084473,7,230277,2.31,12.4200000762939
2024-05-17,10419.3,1703.0,2412.19995117188,80.0599975585938,104.449996948242,213,94152,2.32,11.9899997711182
2024-05-20,10554.51,1697.96997070312,2433.89990234375,79.8000030517578,104.569999694824,40,85072,2.33,12.1499996185303
2024-05-21,10507.1,1700.97998046875,2421.69995117188,79.2600021362305,104.660003662109,6,371672,2.32,11.8599996566772
2024-05-22,10568.8,1704.43994140625,2389.19995117188,77.5699996948242,104.940002441406,180,314145,2.33,12.289999961853
2024-05-23,10495.82,1686.03002929688,2335.0,76.870002746582,105.110000610352,365,330273,2.3,12.7700004577637
2024-05-24,10549.22,1680.71997070312,2332.5,77.7200012207031,104.720001220703,25,299075,2.32,11.9300003051758
2024-05-28,10526.85,1659.75,2355.19995117188,79.8300018310547,104.610000610352,26,334074,2.34,12.9200000762939
2024-05-29,10396.4,1646.5,2340.30004882812,79.2300033569336,105.099998474121,119317,259594,2.36,14.2799997329712
2024-05-30,10205.24,1647.69995117188,2342.89990234375,77.9100036621094,104.720001220703,32587,373779,2.36,14.4700002670288
2024-05-31,10121.72,1670.88000488281,2322.89990234375,76.9899978637695,104.669998168945,941,345120,2.35,12.9200000762939
2024-06-03,10119.99,1683.2099609375,2346.60009765625,74.2200012207031,104.139999389648,781,443271,2.33,13.1099996566772
2024-06-04,10076.18,1688.81005859375,2325.5,73.25,104.110000610352,890,408721,2.31,13.1599998474121
